no,name,lobe,42region
3,Frontal_Sup_L,Prefrontal_lobe,Y
4,Frontal_Sup_R,Prefrontal_lobe,Y
5,Frontal_Sup_Orb_L,Prefrontal_lobe,
6,Frontal_Sup_Orb_R,Prefrontal_lobe,
7,Frontal_Mid_L,Prefrontal_lobe,Y
8,Frontal_Mid_R,Prefrontal_lobe,Y
9,Frontal_Mid_Orb_L,Prefrontal_lobe,
10,Frontal_Mid_Orb_R,Prefrontal_lobe,
11,Frontal_Inf_Oper_L,Prefrontal_lobe,
12,Frontal_Inf_Oper_R,Prefrontal_lobe,
13,Frontal_Inf_Tri_L,Prefrontal_lobe,
14,Frontal_Inf_Tri_R,Prefrontal_lobe,
15,Frontal_Inf_Orb_L,Prefrontal_lobe,
16,Frontal_Inf_Orb_R,Prefrontal_lobe,
21,Olfactory_L,Prefrontal_lobe,
22,Olfactory_R,Prefrontal_lobe,
23,Frontal_Sup_Medial_L,Prefrontal_lobe,Y
24,Frontal_Sup_Medial_R,Prefrontal_lobe,Y
25,Frontal_Mid_Orb_L.1,Prefrontal_lobe,Y
26,Frontal_Mid_Orb_R.1,Prefrontal_lobe,Y
27,Rectus_L,Prefrontal_lobe,Y
28,Rectus_R,Prefrontal_lobe,Y
31,Cingulum_Ant_L,Prefrontal_lobe,Y
32,Cingulum_Ant_R,Prefrontal_lobe,Y
17,Rolandic_Oper_L,other_parts_of_frontal_lobe,
18,Rolandic_Oper_R,other_parts_of_frontal_lobe,
1,Precentral_L,other_parts_of_frontal_lobe,
2,Precentral_R,other_parts_of_frontal_lobe,
19,Supp_Motor_Area_L,other_parts_of_frontal_lobe,
20,Supp_Motor_Area_R,other_parts_of_frontal_lobe,
33,Cingulum_Mid_L,other_parts_of_frontal_lobe,
34,Cingulum_Mid_R,other_parts_of_frontal_lobe,
57,Postcentral_L,parietal_lobe,
58,Postcentral_R,parietal_lobe,
59,Parietal_Sup_L,parietal_lobe,Y
60,Parietal_Sup_R,parietal_lobe,Y
61,Parietal_Inf_L,parietal_lobe,Y
62,Parietal_Inf_R,parietal_lobe,Y
63,SupraMarginal_L,parietal_lobe,
64,SupraMarginal_R,parietal_lobe,
65,Angular_L,parietal_lobe,
66,Angular_R,parietal_lobe,
67,Precuneus_L,parietal_lobe,Y
68,Precuneus_R,parietal_lobe,Y
69,Paracentral_Lobule_L,parietal_lobe,
70,Paracentral_Lobule_R,parietal_lobe,
35,Cingulum_Post_L,parietal_lobe,Y
36,Cingulum_Post_R,parietal_lobe,Y
43,Calcarine_L,occipital_lobe,
44,Calcarine_R,occipital_lobe,
45,Cuneus_L,occipital_lobe,
46,Cuneus_R,occipital_lobe,
47,Lingual_L,occipital_lobe,
48,Lingual_R,occipital_lobe,
49,Occipital_Sup_L,occipital_lobe,Y
50,Occipital_Sup_R,occipital_lobe,Y
51,Occipital_Mid_L,occipital_lobe,Y
52,Occipital_Mid_R,occipital_lobe,Y
53,Occipital_Inf_L,occipital_lobe,Y
54,Occipital_Inf_R,occipital_lobe,Y
77,Thalamus_L,thalamus,
78,Thalamus_R,thalamus,
29,Insula_L,insula,
30,Insula_R,insula,
79,Heschl_L,temporal_lobe,
80,Heschl_R,temporal_lobe,
81,Temporal_Sup_L,temporal_lobe,Y
82,Temporal_Sup_R,temporal_lobe,Y
83,Temporal_Pole_Sup_L,temporal_lobe,Y
84,Temporal_Pole_Sup_R,temporal_lobe,Y
85,Temporal_Mid_L,temporal_lobe,Y
86,Temporal_Mid_R,temporal_lobe,Y
87,Temporal_Pole_Mid_L,temporal_lobe,Y
88,Temporal_Pole_Mid_R,temporal_lobe,Y
89,Temporal_Inf_L,temporal_lobe,Y
90,Temporal_Inf_R,temporal_lobe,Y
55,Fusiform_L,temporal_lobe,Y
56,Fusiform_R,temporal_lobe,Y
37,Hippocampus_L,temporal_lobe,Y
38,Hippocampus_R,temporal_lobe,Y
39,ParaHippocampal_L,temporal_lobe,Y
40,ParaHippocampal_R,temporal_lobe,Y
41,Amygdala_L,temporal_lobe,
42,Amygdala_R,temporal_lobe,
71,Caudate_L,corpus_striatum,
72,Caudate_R,corpus_striatum,
73,Putamen_L,corpus_striatum,
74,Putamen_R,corpus_striatum,
75,Pallidum_L,corpus_striatum,
76,Pallidum_R,corpus_striatum,
91,Cerebelum_Crus1_L,cerebellum,
92,Cerebelum_Crus1_R,cerebellum,
93,Cerebelum_Crus2_L,cerebellum,
94,Cerebelum_Crus2_R,cerebellum,
95,Cerebelum_3_L,cerebellum,
96,Cerebelum_3_R,cerebellum,
97,Cerebelum_4_5_L,cerebellum,
98,Cerebelum_4_5_R,cerebellum,
99,Cerebelum_6_L,cerebellum,
100,Cerebelum_6_R,cerebellum,
101,Cerebelum_7b_L,cerebellum,
102,Cerebelum_7b_R,cerebellum,
103,Cerebelum_8_L,cerebellum,
104,Cerebelum_8_R,cerebellum,
105,Cerebelum_9_L,cerebellum,
106,Cerebelum_9_R,cerebellum,
107,Cerebelum_10_L,cerebellum,
108,Cerebelum_10_R,cerebellum,
109,Vermis_1_2,vermis,
110,Vermis_3,vermis,
111,Vermis_4_5,vermis,
112,Vermis_6,vermis,
113,Vermis_7,vermis,
114,Vermis_8,vermis,
115,Vermis_9,vermis,
116,Vermis_10,vermis,
